statement;wave;veracity;statements;url;satire
T2;8;T;Anti-money-laundering specialists at Deustsche Bank recommended that transactions involving legal entities controlled by President Trump be reported to a federal financial-crimes watchdog.;https://www.nytimes.com/2019/05/19/business/deutsche-bank-trump-kushner.html;0
T3;8;T;President Trump says that abortion laws should include exceptions for rape, incest, and protecting the life of the mother, which is inconsistent with the law recently passed in Alabama.;https://www.usatoday.com/story/news/politics/2019/05/19/donald-trump-comments-on-abortion-laws/3731000002/;0
T4;8;T;Alabama Governor Kay Ivey has signed the state’s newest abortion bill, which features a near-total ban on performing abortions, even in cases of rape and incest.;https://www.cnn.com/2019/05/15/politics/alabama-governor-signs-bill/index.html;0
T5;8;T;More than half of Americans say that Arabic numerals should not be taught in school, not realizing that this label refers to symbols commonly used to denote numbers in the U.S.;https://www.independent.co.uk/news/arabic-numerals-survey-prejudice-bias-survey-research-civic-science-a8918256.html;0
T6;8;T;Mississippi state Rep. Doug McLeod (Republican) was arrested in his home for allegedly punching his wife in the face because she undressed too slowly for sex.;https://www.usatoday.com/story/news/nation/2019/05/21/mcleod-lawmaker-resign-speaker-gunn-assault-wife-domestic-violence/3760945002/;0
T7;8;T;Rep. Alexandria Ocasio-Cortez confronted the CEO of a major pharmaceutical company for pricing a drug designed to reduce the risk of HIV transmission at $8 in Australia but over $1500 in the U.S.;https://www.msn.com/en-us/autos/newspolitics/ocasio-cortez-confronts-ceo-for-nearly-dollar2k-price-tag-on-hiv-drug-that-costs-dollar8-in-australia/ar-AABsDP0;0
T8;8;T;The Guardian is now using the terms “climate emergency, crisis or breakdown” and “global heating” instead of “climate change” and “global warming.;http://www.theguardian.com/environment/2019/may/17/why-the-guardian-is-changing-the-language-it-uses-about-the-environment;0
T9;8;T;The Trump administration has requested the paperwork needed to pardon troops accused or convicted of war crimes, including high-profile cases of murder, attempted murder and desecration of a corpse.;https://www.nytimes.com/2019/05/18/us/trump-pardons-war-crimes.html;0
T10;8;T;Former national security advisor Michael Flynn told investigators that people linked to the Trump administration and Congress reached out to him in an effort to interfere in the Mueller investigation. ;https://www.nbcnews.com/politics/justice-department/flynn-told-mueller-people-tied-trump-congress-tried-obstruct-probe-n1006666;0
T1;9;T;A teenager living in the U.K mowed an anti-Trump message prominently featuring a giant penis into the grass of his family home in anticipation of President Trump’s state visit.;https://www.independent.co.uk/news/uk/home-news/trump-uk-visit-penis-stansted-airport-protest-climate-change-real-essex-a8941271.html;0
T2;9;T;In the lead up to President Trump’s U.K. visit, protesters installed a 16-foot-tall animatronic model of the U.S. president tweeting from his phone while seated on a golden toilet.;https://www.independent.co.uk/news/uk/home-news/trump-protests-toilet-robot-tweeting-trafalgar-square-london-state-visit-a8943061.html;0
T3;9;T;British protestors projected public opinion polling data showing how unpopular President Trump is in the U.K. compared to former President Obama on several London landmarks.;https://news.yahoo.com/trump-faces-giant-uss-john-150400714.html;0
T4;9;T;White House officials requested that the USS John McCain, a Navy destroyer with a homeport in Japan, be kept “out of sight” during President Donald Trump’s visit to that country.;https://www.wsj.com/articles/white-house-wanted-uss-john-mccain-out-of-sight-during-trump-japan-visit-11559173470;0
T5;9;T;Despite bipartisan support, Senator Mitch McConnell has refused to bring to a vote two separate election security bills intended to counter Russian efforts to influence future elections.;https://www.msnbc.com/all-in/watch/mcconnell-blocks-bills-to-combat-election-interference-60531781794;0
T6;9;T;Democrats in the House of Representatives have proposed ending a decade-long pay freeze on Congressional salaries, which would result in a 2.6% ($4,500) cost-of-living salary adjustment.;https://www.politico.com/story/2019/06/04/congress-pay-raise-1353195;0
T7;9;T;The Trump Administration imposed major travel restrictions on visits to Cuba by U.S. citizens, including a ban on many forms of educational and recreational travel.;https://www.pbs.org/newshour/nation/trump-administration-bans-educational-and-recreational-travel-to-cuba;0
T8;9;T;The Homeland Security inspector general found “dangerous overcrowding” at a Customs and Border Protection facility in El Paso, Texas.;https://abcnews.go.com/Politics/900-migrants-found-texas-facility-125-person-capacity/story?id=63404988;0
T9;9;T;In a press release, the U.S. Department of Energy referred to liquefied natural gas as “freedom gas,” and praised increasing exports of the fuel to U.S. allies.;https://www.theguardian.com/business/2019/may/29/energy-department-molecules-freedom-fossil-fuel-rebranding;0
T10;9;T;More than three dozen migrant children were forced to spend at least 23 hours in vans parked at an ICE detention center in Texas while waiting to be reunited with their families.;https://www.nbcnews.com/politics/immigration/botched-family-reunifications-left-migrant-children-waiting-vans-overnight-n1013336;0
T1;10;T;The House Judiciary Committee unanimously passed a bill that would permanently reauthorize the 9/11 Victim Compensation Fund following comedian Jon Stewart’s impassioned testimony in support of it.;https://www.cbsnews.com/news/house-panel-passes-911-victims-fund-bill-a-day-after-jon-stewarts-emotional-testimony/;0
T2;10;T;"Asked by reporter George Stephanopoulos whether his campaign would accept information about a political opponent from a foreign government, including China or Russia, or hand it over the FBI, Trump said, ""I think maybe you do both.”";https://abcnews.go.com/Politics/id-exclusive-interview-trump-listen-foreigners-offered-dirt/story?id=63669304;0
T3;10;T;President Trump suggested in a tweet that his supporters might “demand that I stay longer,” echoing jokes he’s made in the past about serving more than two terms.;https://www.washingtonpost.com/politics/trump-says-supporters-might-demand-that-he-serve-more-than-two-terms-as-president/2019/06/16/4b6b9ae2-9041-11e9-b570-6416efdc0803_story.html;0
T4;10;T;Press Secretary Sarah Huckabee Sanders is leaving her White House position at the end of June.;https://abcnews.go.com/Politics/press-secretary-sarah-sanders-leaving-white-house/story?id=63696349;0
T5;10;T;A Virginia school district has purchased a food truck so that it can serve free lunches to students in the community over the summer.;https://abcnews.go.com/US/virginia-school-district-buys-food-truck-provide-students/story?id=63687025;0
T6;10;T;The New York State Senate recently passed legislation prohibiting state-chartered banks from investing in, or providing financing to, private prisons.;https://www.forbes.com/sites/morgansimon/2019/06/18/new-york-to-become-first-state-to-be-completely-done-with-private-prisons/;0
T7;10;T;A four-month old Romanian boy is the youngest of thousands of children taken from their parents at the U.S.-Mexico border under a Trump-administration policy.;https://www.nytimes.com/2019/06/16/us/baby-constantine-romania-migrants.html;0
T8;10;T;Sen. Marsha Blackburn (R-Tenn.) blocked an effort by Sen. Mark Warner (D-Va.) to pass a bill requiring campaigns to report any offers of foreign assistance to the FBI.;https://www.axios.com/marsha-blackburn-foreign-offers-assistance-campaigns-fab324f4-a630-41aa-9b90-a6fc4ca5c5d0.html;0
T9;10;T;Prosecutors in Flint, Michigan have dropped all pending charges against officials accused of ruining that community’s drinking water and ignoring signs of the crisis.;https://www.nytimes.com/2019/06/13/us/flint-water-crisis-charges-dropped.html;0
T10;10;T;Two dozen guerrilla art installations, made to look like migrant children detained in chain-link cages and accompanied by audio recordings of the cries of real detained children, appeared across New York City in early June.;https://www.washingtonpost.com/nation/2019/06/12/art-installations-blast-audio-sobbing-detained-children-across-new-york-city/;0
T1;11;T;A father traveling from El Salvador with his two-year-old daughter drowned while trying to enter the U.S. illegally by swimming across the Rio Grande.;https://www.washingtonpost.com/world/2019/06/26/father-daughter-who-drowned-border-dove-into-river-desperation/;0
T2;11;T;The National Park Service diverted $2.5 million in fees from its budget to help fund President Trump's Fourth of July 'Salute to America' event.;https://www.washingtonpost.com/politics/white-house-gives-tickets-to-trumps-july-fourth-extravaganza-to-gop-donors/2019/07/02/9109a566-9ce0-11e9-b27f-ed2942f73d70_story.html;0
T3;11;T;Investigators for the DHS Office of the Inspector General have identified poor conditions in several Texas migrant facilities, including extreme overcrowding and serious health risks.;https://www.nbcnews.com/politics/immigration/help-photos-show-hundreds-migrants-squashed-cells-appealing-assistance-n1025831;0
T4;11;T;Luis Alvarez, the retired police officer who appeared before Congress with Jon Stewart to plead for consistent health benefits for 9/11 first responders, has died.;https://www.nbcnews.com/news/us-news/9-11-first-responder-who-appeared-congress-jon-stewart-dies-n1024941;0
T5;11;T;An Alabama woman who was shot while pregnant was charged in the fetus's death because police said she started the fight and failed to remove herself from harm's way.;https://www.nytimes.com/2019/06/27/us/pregnant-woman-shot-marshae-jones.html;0
T6;11;T;North Korean leader Kim Jong Un praised President Trump's decision to be the first U.S. President to visit North Korea, describing it as a 'courageous and determined act.';https://abcnews.go.com/Politics/president-trump-travel-dmz-meet-kim-jong/story?id=64042883;0
